nt_cluster,uniport_cluster
Cluster-112401.5_TRINITY_DN195015_c3_g5,Cluster-66920.1_TRINITY_DN201022_c1_g1
Cluster-92926.3_TRINITY_DN207568_c3_g2,Cluster-66920.0_TRINITY_DN201022_c1_g1
Cluster-68428.1_TRINITY_DN197854_c3_g1,Cluster-12079.18_TRINITY_DN206499_c0_g1
Cluster-99200.1_TRINITY_DN201958_c3_g1,Cluster-110525.3_TRINITY_DN209394_c0_g1
Cluster-97060.3_TRINITY_DN210473_c0_g3,Cluster-107590.1_TRINITY_DN200390_c2_g1
Cluster-80925.1_TRINITY_DN205277_c5_g1,Cluster-87864.0_TRINITY_DN241886_c0_g1
Cluster-107390.4_TRINITY_DN203278_c3_g1,Cluster-114223.1_TRINITY_DN207833_c3_g1
Cluster-107390.3_TRINITY_DN203278_c3_g1,Cluster-84316.1_TRINITY_DN194727_c6_g4
Cluster-52745.0_TRINITY_DN207237_c6_g4,Cluster-84316.0_TRINITY_DN194727_c6_g6
Cluster-91270.0_TRINITY_DN191029_c5_g2,Cluster-105210.5_TRINITY_DN202128_c1_g4
Cluster-65059.1_TRINITY_DN194856_c2_g6,Cluster-105210.4_TRINITY_DN202128_c1_g4
Cluster-20386.18_TRINITY_DN210693_c3_g5,Cluster-105210.1_TRINITY_DN202128_c1_g4
Cluster-76239.3_TRINITY_DN204455_c5_g5,Cluster-84510.0_TRINITY_DN196445_c5_g1
Cluster-67433.0_TRINITY_DN200967_c5_g2,Cluster-55647.4_TRINITY_DN201110_c3_g1
Cluster-84139.145_TRINITY_DN210942_c0_g1,Cluster-55647.6_TRINITY_DN201110_c3_g1
Cluster-95107.2_TRINITY_DN196208_c4_g2,
Cluster-99046.0_TRINITY_DN201258_c1_g2,
Cluster-97016.1_TRINITY_DN201388_c5_g3,
Cluster-111736.3_TRINITY_DN210652_c0_g1,
Cluster-92089.0_TRINITY_DN208314_c3_g2,
Cluster-113797.0_TRINITY_DN197482_c0_g4,
Cluster-103684.0_TRINITY_DN205404_c0_g2,
Cluster-92564.9_TRINITY_DN195632_c0_g1,
Cluster-92564.13_TRINITY_DN201029_c5_g3,
Cluster-52604.4_TRINITY_DN209481_c3_g1,
Cluster-100618.5_TRINITY_DN204122_c2_g3,
Cluster-100618.4_TRINITY_DN204122_c2_g3,
Cluster-108209.0_TRINITY_DN197222_c0_g2,
Cluster-97336.2_TRINITY_DN204323_c1_g1,
Cluster-105141.2_TRINITY_DN201091_c1_g1,
Cluster-233.5_TRINITY_DN210691_c3_g1,
Cluster-61182.0_TRINITY_DN198753_c0_g2,
Cluster-62465.0_TRINITY_DN196113_c2_g2,
Cluster-104103.0_TRINITY_DN198860_c0_g1,
Cluster-110137.0_TRINITY_DN205813_c0_g4,
Cluster-102982.1_TRINITY_DN202167_c2_g8,
Cluster-113030.2_TRINITY_DN198400_c0_g1,
Cluster-84430.2_TRINITY_DN206653_c1_g6,
Cluster-101858.3_TRINITY_DN199949_c1_g9,
Cluster-96385.0_TRINITY_DN203002_c2_g1,
Cluster-99193.0_TRINITY_DN210318_c2_g4,
Cluster-113369.0_TRINITY_DN207907_c3_g3,
Cluster-89004.3_TRINITY_DN207356_c0_g2,
Cluster-57169.0_TRINITY_DN207147_c2_g2,
Cluster-71172.0_TRINITY_DN209123_c0_g6,
Cluster-106519.1_TRINITY_DN204990_c6_g1,
Cluster-95449.2_TRINITY_DN205362_c0_g4,
Cluster-94867.0_TRINITY_DN207953_c1_g1,
Cluster-65923.0_TRINITY_DN203994_c2_g3,
Cluster-74198.3_TRINITY_DN208358_c0_g1,
Cluster-112529.0_TRINITY_DN199232_c5_g1,
Cluster-101858.0_TRINITY_DN202797_c4_g6,
Cluster-110921.1_TRINITY_DN201258_c2_g1,
Cluster-55729.2_TRINITY_DN200543_c1_g4,
Cluster-101459.2_TRINITY_DN208942_c2_g4,
Cluster-97721.0_TRINITY_DN205905_c0_g1,
Cluster-36801.1_TRINITY_DN203672_c1_g4,
Cluster-112273.4_TRINITY_DN199883_c0_g2,
Cluster-94003.0_TRINITY_DN210366_c1_g3,
Cluster-90937.1_TRINITY_DN200844_c0_g2,
Cluster-52139.226_TRINITY_DN200702_c3_g3,
Cluster-70178.0_TRINITY_DN204448_c0_g1,
Cluster-105760.1_TRINITY_DN204591_c5_g2,
Cluster-108647.0_TRINITY_DN196954_c5_g1,
Cluster-79779.6_TRINITY_DN205640_c0_g1,
Cluster-61184.1_TRINITY_DN197980_c3_g4,
Cluster-109538.0_TRINITY_DN163131_c0_g1,
Cluster-53632.0_TRINITY_DN192718_c3_g1,
Cluster-102193.1_TRINITY_DN206638_c0_g1,
Cluster-75447.0_TRINITY_DN197177_c6_g1,
Cluster-98234.0_TRINITY_DN204997_c0_g5,
