nt_cluster,uniport_cluster
Cluster-97601.0_TRINITY_DN199663_c3_g3,Cluster-90932.0_TRINITY_DN194691_c2_g3
Cluster-97526.0_TRINITY_DN198498_c1_g2,Cluster-90922.4_TRINITY_DN202421_c0_g1
Cluster-97505.1_TRINITY_DN204334_c3_g3,Cluster-90870.0_TRINITY_DN201640_c0_g1
Cluster-97505.0_TRINITY_DN204334_c3_g3,Cluster-90847.0_TRINITY_DN205744_c0_g2
Cluster-97504.0_TRINITY_DN202258_c0_g1,Cluster-90692.0_TRINITY_DN173016_c0_g1
Cluster-97428.1_TRINITY_DN205611_c3_g1,Cluster-9064.0_TRINITY_DN366511_c0_g1
Cluster-97389.0_TRINITY_DN183151_c0_g1,Cluster-90625.1_TRINITY_DN210979_c0_g2
Cluster-97374.0_TRINITY_DN207279_c7_g3,Cluster-90561.0_TRINITY_DN193197_c0_g1
Cluster-97364.3_TRINITY_DN209027_c3_g2,Cluster-90410.0_TRINITY_DN207115_c2_g1
Cluster-97340.0_TRINITY_DN153019_c0_g1,Cluster-90313.4_TRINITY_DN210266_c0_g6
Cluster-97336.9_TRINITY_DN204323_c1_g2,Cluster-90226.0_TRINITY_DN198590_c2_g4
Cluster-97336.2_TRINITY_DN204323_c1_g1,Cluster-90195.0_TRINITY_DN208410_c1_g2
Cluster-97329.0_TRINITY_DN196445_c7_g4,Cluster-89876.0_TRINITY_DN186886_c0_g1
Cluster-97316.3_TRINITY_DN197508_c8_g1,Cluster-89740.0_TRINITY_DN197674_c6_g2
Cluster-97302.0_TRINITY_DN194445_c9_g2,Cluster-89592.0_TRINITY_DN199676_c2_g2
Cluster-97280.1_TRINITY_DN201381_c3_g3,Cluster-89462.0_TRINITY_DN205591_c0_g2
Cluster-97261.0_TRINITY_DN206125_c2_g2,Cluster-89325.0_TRINITY_DN205177_c3_g1
Cluster-97191.2_TRINITY_DN210540_c2_g1,Cluster-89208.11_TRINITY_DN203336_c0_g1
Cluster-97188.0_TRINITY_DN195198_c4_g1,Cluster-89128.0_TRINITY_DN207162_c1_g2
Cluster-97183.0_TRINITY_DN205190_c2_g1,Cluster-88831.10_TRINITY_DN200413_c1_g1
Cluster-97181.0_TRINITY_DN206744_c2_g1,Cluster-88825.4_TRINITY_DN203980_c1_g3
Cluster-97162.1_TRINITY_DN197573_c4_g2,Cluster-88825.1_TRINITY_DN203980_c1_g5
Cluster-97135.36_TRINITY_DN210276_c0_g1,Cluster-88799.0_TRINITY_DN188987_c0_g1
Cluster-97076.4_TRINITY_DN208135_c2_g2,Cluster-88729.0_TRINITY_DN196476_c8_g4
Cluster-97060.3_TRINITY_DN210473_c0_g3,Cluster-88411.0_TRINITY_DN200892_c2_g3
Cluster-9702.0_TRINITY_DN199459_c7_g5,Cluster-88395.0_TRINITY_DN180661_c0_g1
Cluster-97016.1_TRINITY_DN201388_c5_g3,Cluster-88369.1_TRINITY_DN207489_c0_g2
Cluster-97001.0_TRINITY_DN200697_c3_g5,Cluster-8829.0_TRINITY_DN193003_c0_g1
Cluster-970.1_TRINITY_DN199404_c2_g3,Cluster-88181.0_TRINITY_DN199365_c0_g1
Cluster-96972.0_TRINITY_DN199543_c1_g1,Cluster-88140.0_TRINITY_DN204862_c0_g2
Cluster-9697.0_TRINITY_DN182919_c0_g1,Cluster-88139.0_TRINITY_DN190118_c0_g1
Cluster-96968.0_TRINITY_DN200393_c0_g1,Cluster-88026.0_TRINITY_DN172091_c0_g1
Cluster-96939.0_TRINITY_DN194970_c6_g5,Cluster-87970.0_TRINITY_DN203275_c1_g4
Cluster-96905.5_TRINITY_DN208759_c0_g2,Cluster-87919.0_TRINITY_DN198002_c0_g2
Cluster-96905.3_TRINITY_DN206633_c2_g2,Cluster-87870.1_TRINITY_DN199989_c0_g2
Cluster-96905.0_TRINITY_DN208759_c0_g2,Cluster-87864.0_TRINITY_DN241886_c0_g1
Cluster-96890.7_TRINITY_DN201082_c1_g1,Cluster-87845.2_TRINITY_DN210865_c1_g3
Cluster-96823.0_TRINITY_DN208203_c2_g4,Cluster-87682.0_TRINITY_DN209077_c1_g3
Cluster-96813.0_TRINITY_DN246794_c0_g1,Cluster-8755.0_TRINITY_DN203284_c2_g3
Cluster-96788.3_TRINITY_DN209424_c2_g1,Cluster-87428.0_TRINITY_DN206000_c1_g7
Cluster-96788.12_TRINITY_DN209424_c2_g1,Cluster-87402.0_TRINITY_DN207977_c4_g3
Cluster-9677.0_TRINITY_DN194837_c4_g1,Cluster-87129.0_TRINITY_DN208353_c4_g3
Cluster-96766.0_TRINITY_DN207232_c1_g6,Cluster-86748.0_TRINITY_DN42580_c0_g1
Cluster-96760.3_TRINITY_DN208703_c3_g1,Cluster-8674.1_TRINITY_DN204964_c0_g3
Cluster-96760.1_TRINITY_DN208703_c3_g1,Cluster-8658.0_TRINITY_DN197429_c3_g1
Cluster-96749.0_TRINITY_DN194532_c5_g2,Cluster-86057.0_TRINITY_DN206667_c0_g2
Cluster-9672.1_TRINITY_DN211019_c3_g1,Cluster-860.0_TRINITY_DN294653_c0_g1
Cluster-9671.0_TRINITY_DN194316_c3_g1,Cluster-85977.0_TRINITY_DN203187_c1_g6
Cluster-96706.0_TRINITY_DN203755_c4_g1,Cluster-85910.0_TRINITY_DN201405_c3_g4
Cluster-96650.0_TRINITY_DN209201_c0_g1,Cluster-85857.9_TRINITY_DN210968_c1_g4
Cluster-96596.0_TRINITY_DN198112_c0_g1,Cluster-85857.7_TRINITY_DN208300_c1_g1
Cluster-96560.0_TRINITY_DN207156_c3_g1,Cluster-85857.6_TRINITY_DN210968_c1_g4
Cluster-96525.5_TRINITY_DN197749_c2_g1,Cluster-85857.5_TRINITY_DN211038_c1_g1
Cluster-96525.10_TRINITY_DN197749_c2_g1,Cluster-85857.4_TRINITY_DN211038_c1_g1
Cluster-96521.4_TRINITY_DN199373_c2_g2,Cluster-85857.3_TRINITY_DN205491_c1_g2
Cluster-96521.2_TRINITY_DN199430_c0_g1,Cluster-85857.16_TRINITY_DN210968_c1_g2
Cluster-96482.0_TRINITY_DN210491_c2_g1,Cluster-85857.15_TRINITY_DN210968_c1_g3
Cluster-96473.0_TRINITY_DN205903_c1_g2,Cluster-85857.10_TRINITY_DN210968_c0_g2
Cluster-96453.0_TRINITY_DN207704_c7_g1,Cluster-85732.0_TRINITY_DN147109_c0_g1
Cluster-96441.0_TRINITY_DN186505_c0_g1,Cluster-85631.22_TRINITY_DN208054_c1_g2
Cluster-9644.0_TRINITY_DN198545_c3_g6,Cluster-85626.0_TRINITY_DN197498_c4_g1
Cluster-96433.0_TRINITY_DN198888_c2_g2,Cluster-85599.0_TRINITY_DN208135_c2_g1
Cluster-96390.0_TRINITY_DN199479_c0_g3,Cluster-85526.0_TRINITY_DN203647_c1_g3
Cluster-96385.0_TRINITY_DN203002_c2_g1,Cluster-8524.1_TRINITY_DN198745_c9_g1
Cluster-96378.0_TRINITY_DN57409_c0_g1,Cluster-85036.0_TRINITY_DN209988_c6_g2
Cluster-96350.1_TRINITY_DN211303_c5_g2,Cluster-84912.10_TRINITY_DN188147_c0_g1
Cluster-96309.0_TRINITY_DN198538_c5_g1,Cluster-8489.1_TRINITY_DN202320_c6_g1
Cluster-96282.0_TRINITY_DN198827_c4_g1,Cluster-8488.0_TRINITY_DN197556_c2_g2
Cluster-96277.0_TRINITY_DN197914_c0_g1,Cluster-84873.1_TRINITY_DN210299_c4_g1
Cluster-96266.0_TRINITY_DN198244_c2_g1,Cluster-84830.1_TRINITY_DN199124_c2_g6
Cluster-9626.1_TRINITY_DN196949_c5_g1,Cluster-84510.0_TRINITY_DN196445_c5_g1
Cluster-96228.0_TRINITY_DN202006_c5_g1,Cluster-84509.0_TRINITY_DN189569_c0_g1
Cluster-96202.0_TRINITY_DN202242_c3_g1,Cluster-84472.0_TRINITY_DN200825_c0_g1
Cluster-96189.0_TRINITY_DN195053_c4_g3,Cluster-84449.1_TRINITY_DN189176_c0_g1
Cluster-96164.4_TRINITY_DN210349_c1_g1,Cluster-84382.0_TRINITY_DN207006_c7_g2
Cluster-96158.0_TRINITY_DN194861_c5_g1,Cluster-8437.0_TRINITY_DN152715_c0_g1
Cluster-96108.0_TRINITY_DN208738_c5_g1,Cluster-84316.1_TRINITY_DN194727_c6_g4
Cluster-96096.2_TRINITY_DN197550_c6_g2,Cluster-84316.0_TRINITY_DN194727_c6_g6
Cluster-96096.1_TRINITY_DN206733_c3_g6,Cluster-83980.1_TRINITY_DN207025_c5_g2
Cluster-96096.0_TRINITY_DN197550_c6_g1,Cluster-83970.0_TRINITY_DN205787_c2_g1
Cluster-96060.0_TRINITY_DN194382_c6_g1,Cluster-83719.0_TRINITY_DN211283_c5_g2
Cluster-96054.3_TRINITY_DN202066_c0_g1,Cluster-83390.4_TRINITY_DN196606_c2_g1
Cluster-96001.0_TRINITY_DN176983_c0_g1,Cluster-83390.0_TRINITY_DN202722_c5_g1
Cluster-95943.0_TRINITY_DN206155_c1_g1,Cluster-82928.0_TRINITY_DN201360_c1_g1
Cluster-95899.34_TRINITY_DN206423_c3_g2,Cluster-827.0_TRINITY_DN283583_c0_g1
Cluster-95899.28_TRINITY_DN200444_c5_g2,Cluster-82545.0_TRINITY_DN194272_c8_g7
Cluster-95891.0_TRINITY_DN186421_c0_g1,Cluster-82486.1_TRINITY_DN208501_c2_g1
Cluster-95845.2_TRINITY_DN207807_c2_g1,Cluster-82474.0_TRINITY_DN202876_c1_g1
Cluster-95845.0_TRINITY_DN203456_c3_g4,Cluster-82383.0_TRINITY_DN191748_c1_g2
Cluster-95841.0_TRINITY_DN200481_c2_g1,Cluster-8205.0_TRINITY_DN185988_c0_g1
Cluster-9583.0_TRINITY_DN181871_c0_g1,Cluster-81417.1_TRINITY_DN200533_c0_g2
Cluster-95810.0_TRINITY_DN201902_c3_g1,Cluster-80947.0_TRINITY_DN199539_c2_g2
Cluster-95779.1_TRINITY_DN205614_c2_g4,Cluster-8091.0_TRINITY_DN208615_c5_g2
Cluster-9573.2_TRINITY_DN205916_c5_g2,Cluster-80744.0_TRINITY_DN199475_c0_g1
Cluster-95687.0_TRINITY_DN202728_c0_g7,Cluster-80386.1_TRINITY_DN195314_c3_g5
Cluster-95666.0_TRINITY_DN199712_c0_g3,Cluster-80110.0_TRINITY_DN197674_c6_g6
Cluster-95656.0_TRINITY_DN208362_c3_g4,Cluster-80020.1_TRINITY_DN206158_c2_g1
Cluster-9565.0_TRINITY_DN195525_c2_g3,Cluster-79974.20_TRINITY_DN196951_c1_g1
Cluster-95631.1_TRINITY_DN199396_c6_g1,Cluster-7985.0_TRINITY_DN78522_c0_g1
Cluster-95618.0_TRINITY_DN193393_c6_g7,Cluster-7976.3_TRINITY_DN210202_c0_g2
Cluster-95556.0_TRINITY_DN208294_c1_g4,Cluster-79740.0_TRINITY_DN207620_c2_g1
Cluster-95550.0_TRINITY_DN195996_c1_g7,Cluster-79588.0_TRINITY_DN206890_c0_g1
Cluster-95529.1_TRINITY_DN207893_c5_g1,Cluster-79377.1_TRINITY_DN207274_c1_g4
Cluster-95528.0_TRINITY_DN203979_c0_g1,Cluster-78891.0_TRINITY_DN199372_c1_g3
Cluster-95516.1_TRINITY_DN202237_c0_g2,Cluster-78733.0_TRINITY_DN190301_c0_g1
Cluster-95474.0_TRINITY_DN199691_c1_g1,Cluster-78633.0_TRINITY_DN203187_c1_g5
Cluster-95449.2_TRINITY_DN205362_c0_g4,Cluster-78510.0_TRINITY_DN209237_c0_g3
Cluster-95274.0_TRINITY_DN198832_c2_g1,Cluster-78424.0_TRINITY_DN205012_c2_g6
Cluster-95272.3_TRINITY_DN198934_c6_g1,Cluster-78280.1_TRINITY_DN210187_c0_g1
Cluster-95262.0_TRINITY_DN203362_c0_g3,Cluster-7767.2_TRINITY_DN206169_c2_g1
Cluster-95255.0_TRINITY_DN196480_c0_g3,Cluster-7767.1_TRINITY_DN206169_c2_g1
Cluster-95251.0_TRINITY_DN194781_c2_g2,Cluster-7767.0_TRINITY_DN208026_c3_g3
Cluster-95242.9_TRINITY_DN203393_c2_g2,Cluster-77054.1_TRINITY_DN200697_c3_g4
Cluster-95242.0_TRINITY_DN203393_c2_g1,Cluster-76806.0_TRINITY_DN200625_c7_g1
Cluster-95222.0_TRINITY_DN196007_c2_g1,Cluster-75658.0_TRINITY_DN182894_c0_g1
Cluster-95212.25_TRINITY_DN207277_c1_g2,Cluster-75559.3_TRINITY_DN208836_c2_g1
Cluster-95210.0_TRINITY_DN195342_c1_g2,Cluster-75559.2_TRINITY_DN205650_c6_g1
Cluster-95160.0_TRINITY_DN193977_c5_g1,Cluster-75122.0_TRINITY_DN202377_c8_g3
Cluster-95147.10_TRINITY_DN206365_c1_g1,Cluster-74967.0_TRINITY_DN195981_c10_g1
Cluster-95107.2_TRINITY_DN196208_c4_g2,Cluster-74926.0_TRINITY_DN206176_c4_g1
Cluster-95094.18_TRINITY_DN207717_c8_g2,Cluster-74810.3_TRINITY_DN204827_c3_g1
